43,2939,23,1,58,src/main/scala/temp_sudokuTest54.txt,43,26267,34,23,26267,23328,12011,186
96,2939,23,1,110,src/main/scala/temp_sudokuTest55.txt,92,26267,59,23,26267,23328,12011,226
85,2939,23,2,118,src/main/scala/temp_sudokuTest56.txt,81,26267,67,23,26267,23328,12011,190
61,2939,23,1,78,src/main/scala/temp_sudokuTest57.txt,61,26267,42,23,26267,23328,12011,205
23,2939,23,1,24,src/main/scala/temp_sudokuTest58.txt,22,26267,15,23,26267,23328,12011,343
69,2939,23,4,96,src/main/scala/temp_sudokuTest59.txt,67,26267,53,23,26267,23328,12011,193
69,2939,23,4,91,src/main/scala/temp_sudokuTest60.txt,64,26267,51,23,26267,23328,12011,209
433,2939,23,0,488,src/main/scala/temp_sudokuTest61.txt,429,26267,247,23,26267,23328,12011,687
42,2939,23,4,50,src/main/scala/temp_sudokuTest62.txt,42,26267,30,23,26267,23328,12011,204
59,2939,23,2,78,src/main/scala/temp_sudokuTest63.txt,55,26267,44,23,26267,23328,12011,206
32,2939,23,5,36,src/main/scala/temp_sudokuTest64.txt,32,26267,23,23,26267,23328,12011,183
20,2939,23,3,24,src/main/scala/temp_sudokuTest65.txt,20,26267,17,23,26267,23328,12011,180
30,2939,23,2,35,src/main/scala/temp_sudokuTest66.txt,29,26267,21,23,26267,23328,12011,189
98,2939,23,2,124,src/main/scala/temp_sudokuTest67.txt,95,26267,65,23,26267,23328,12011,303
125,2939,23,1,147,src/main/scala/temp_sudokuTest68.txt,124,26267,80,23,26267,23328,12011,218
24,2939,23,5,27,src/main/scala/temp_sudokuTest69.txt,23,26267,19,23,26267,23328,12011,186
45,2939,23,2,57,src/main/scala/temp_sudokuTest70.txt,44,26267,32,23,26267,23328,12011,205
185,2939,23,4,229,src/main/scala/temp_sudokuTest71.txt,181,26267,120,23,26267,23328,12011,274
59,2939,23,3,69,src/main/scala/temp_sudokuTest72.txt,56,26267,38,23,26267,23328,12011,211
55,2939,23,3,68,src/main/scala/temp_sudokuTest73.txt,52,26267,38,23,26267,23328,12011,180
27,2939,23,1,31,src/main/scala/temp_sudokuTest74.txt,27,26267,24,23,26267,23328,12011,176
53,2939,23,2,61,src/main/scala/temp_sudokuTest75.txt,52,26267,34,23,26267,23328,12011,212
